counter,email,phoneNumber,creditCard,deviceID,billingAddress,shippingAddress,transactionID,fraud,ipPrefix
24,1751@gmail.com,486413991,5.86E+15,5391273-E32X-500,2485 FakeData Rd,35683 FakeData Rd,tx24,0,728.336.120.641
25,9031@gmail.com,899367957,5.80E+15,4542213-E32X-500,19519 FakeData Rd,31458 FakeData Rd,tx25,0,582.942.737.648
26,7055@gmail.com,484903421,5.40E+15,7501162-E32X-500,3662 FakeData Rd,31362 FakeData Rd,tx26,0,922.718.272.369
27,2312@gmail.com,565393318,5.64E+15,4866395-E32X-500,76515 FakeData Rd,75207 FakeData Rd,tx27,0,673.893.413.693
28,6799@gmail.com,557326018,5.90E+15,686662-E32X-500,33019 FakeData Rd,48779 FakeData Rd,tx28,0,788.126.299.376
29,5478@gmail.com,425856287,5.90E+15,7838057-E32X-500,40244 FakeData Rd,47961 FakeData Rd,tx29,0,377.587.206.940
30,3296@gmail.com,707666236,5.90E+15,9499397-E32X-500,50019 FakeData Rd,70399 FakeData Rd,tx30,0,407.947.273.930
31,3085@gmail.com,489142499,5.90E+15,5833172-E32X-500,25291 FakeData Rd,70514 FakeData Rd,tx31,0,373.129.966.106
32,6322@gmail.com,631258644,5.73E+15,5749020-E32X-500,65738 FakeData Rd,73252 FakeData Rd,tx32,0,866.174.992.846
33,7680@gmail.com,861039326,5.35E+15,4962522-E32X-500,89054 FakeData Rd,18072 FakeData Rd,tx33,0,457.636.169.824
34,7704@gmail.com,587000460,5.90E+15,5731057-E32X-500,86874 FakeData Rd,15652 FakeData Rd,tx34,1,674.574.558.487
35,5702@gmail.com,506104289,5.36E+15,6346024-E32X-500,20906 FakeData Rd,10035 FakeData Rd,tx35,0,643.679.61.913
36,5846@gmail.com,704627516,5.66E+15,6919812-E32X-500,39294 FakeData Rd,40221 FakeData Rd,tx36,0,389.575.30.675
37,3266@gmail.com,723494204,5.42E+15,2880567-E32X-500,27050 FakeData Rd,65077 FakeData Rd,tx37,0,186.791.864.173
38,5534@gmail.com,669102570,5.33E+15,8267682-E32X-500,50334 FakeData Rd,60056 FakeData Rd,tx38,0,584.820.550.495
39,1627@gmail.com,656095568,5.90E+15,3404421-E32X-500,15765 FakeData Rd,7823 FakeData Rd,tx39,0,852.291.902.582
40,2544@gmail.com,545499225,5.28E+15,5384328-E32X-500,78879 FakeData Rd,30529 FakeData Rd,tx40,0,344.379.2.463
41,1467@gmail.com,420689619,5.49E+15,506377-E32X-500,55249 FakeData Rd,86159 FakeData Rd,tx41,0,380.102.647.846
42,2766@gmail.com,799818498,5.90E+15,9048327-E32X-500,69823 FakeData Rd,77123 FakeData Rd,tx42,0,593.397.748.961
43,9264@gmail.com,780524965,5.49E+15,2393406-E32X-500,76339 FakeData Rd,55031 FakeData Rd,tx43,0,703.354.269.211
44,211@gmail.com,659944579,5.44E+15,5426694-E32X-500,45721 FakeData Rd,4268 FakeData Rd,tx44,0,146.321.232.131
45,2672@gmail.com,450072598,5.90E+15,5934834-E32X-500,21834 FakeData Rd,64901 FakeData Rd,tx45,0,287.877.378.965
46,9418@gmail.com,610631866,5.49E+15,6424289-E32X-500,21651 FakeData Rd,26635 FakeData Rd,tx46,0,257.547.165.567
47,3818@gmail.com,573036016,5.40E+15,1524735-E32X-500,14934 FakeData Rd,34456 FakeData Rd,tx47,0,546.719.681.940
48,6220@gmail.com,678317211,5.90E+15,7704014-E32X-500,27030 FakeData Rd,89390 FakeData Rd,tx48,0,802.446.465.8
49,8702@gmail.com,768778759,5.23E+15,1983759-E32X-500,54699 FakeData Rd,78498 FakeData Rd,tx49,0,536.546.975.178
50,4778@gmail.com,568908556,5.48E+15,8547269-E32X-500,33845 FakeData Rd,18564 FakeData Rd,tx50,0,568.150.302.955
51,8880@gmail.com,498407102,5.90E+15,1899979-E32X-500,37536 FakeData Rd,21670 FakeData Rd,tx51,0,765.340.514.222
52,5284@gmail.com,851806772,5.68E+15,7769308-E32X-500,42666 FakeData Rd,21055 FakeData Rd,tx52,0,383.864.662.561
53,7728@gmail.com,711277870,5.62E+15,9890015-E32X-500,20441 FakeData Rd,10136 FakeData Rd,tx53,0,673.591.11.911
54,401@gmail.com,771493949,5.90E+15,9577525-E32X-500,67386 FakeData Rd,10506 FakeData Rd,tx54,0,865.767.34.306
55,7574@gmail.com,446379565,5.48E+15,8658776-E32X-500,44789 FakeData Rd,87105 FakeData Rd,tx55,0,425.313.958.37
56,230@gmail.com,511696653,5.85E+15,690754-E32X-500,296 FakeData Rd,44519 FakeData Rd,tx56,0,689.558.585.666
57,2417@gmail.com,487600177,5.90E+15,7816945-E32X-500,68514 FakeData Rd,64591 FakeData Rd,tx57,0,695.681.847.841
58,8271@gmail.com,653838798,5.65E+15,7997443-E32X-500,22233 FakeData Rd,85565 FakeData Rd,tx58,0,759.873.636.660
59,9666@gmail.com,524189558,5.89E+15,1822929-E32X-500,36325 FakeData Rd,65158 FakeData Rd,tx59,0,536.263.164.790
60,1840@gmail.com,542682721,5.90E+15,3190330-E32X-500,74316 FakeData Rd,51305 FakeData Rd,tx60,0,807.134.49.28
61,7258@gmail.com,667963853,5.59E+15,8578352-E32X-500,31062 FakeData Rd,35587 FakeData Rd,tx61,0,932.302.747.953
62,3211@gmail.com,628227849,5.88E+15,2175284-E32X-500,8092 FakeData Rd,70517 FakeData Rd,tx62,0,807.664.70.783
63,2664@gmail.com,514583454,5.90E+15,6736384-E32X-500,31670 FakeData Rd,66532 FakeData Rd,tx63,0,149.106.573.210
64,4405@gmail.com,880163967,5.28E+15,8194420-E32X-500,13894 FakeData Rd,74614 FakeData Rd,tx64,0,356.728.962.262
65,9295@gmail.com,536995513,5.55E+15,9853982-E32X-500,23975 FakeData Rd,35753 FakeData Rd,tx65,0,335.658.902.700
66,4699@gmail.com,470391638,5.84E+15,7132882-E32X-500,27367 FakeData Rd,264 FakeData Rd,tx66,0,950.827.261.521
67,8793@gmail.com,571666811,5.45E+15,4842490-E32X-500,34484 FakeData Rd,71203 FakeData Rd,tx67,0,874.823.913.419
68,7597@gmail.com,418788398,5.38E+15,2087529-E32X-500,11053 FakeData Rd,62094 FakeData Rd,tx68,0,879.745.486.579
69,7667@gmail.com,447469719,5.21E+15,8495206-E32X-500,67881 FakeData Rd,78651 FakeData Rd,tx69,0,520.896.518.458
70,9739@gmail.com,430865690,5.90E+15,1268041-E32X-500,8484 FakeData Rd,24301 FakeData Rd,tx70,0,592.598.609.997
71,1293@gmail.com,444148003,5.83E+15,2085929-E32X-500,62528 FakeData Rd,66511 FakeData Rd,tx71,0,372.934.416.904
72,5525@gmail.com,745824459,5.31E+15,9486472-E32X-500,58688 FakeData Rd,53206 FakeData Rd,tx72,0,431.954.380.458
73,201@gmail.com,843475876,5.30E+15,890640-E32X-500,74683 FakeData Rd,19687 FakeData Rd,tx73,0,544.511.969.140
74,3874@gmail.com,581416043,5.85E+15,9482522-E32X-500,36107 FakeData Rd,29566 FakeData Rd,tx74,0,721.432.641.869
75,2335@gmail.com,733736487,5.30E+15,3005267-E32X-500,52920 FakeData Rd,75755 FakeData Rd,tx75,0,608.815.252.359
76,8467@gmail.com,432413508,5.82E+15,8748719-E32X-500,32928 FakeData Rd,5635 FakeData Rd,tx76,0,570.909.398.500
77,4912@gmail.com,656203872,5.37E+15,8457124-E32X-500,27558 FakeData Rd,27920 FakeData Rd,tx77,0,295.359.203.360
78,2918@gmail.com,820717050,5.52E+15,3665842-E32X-500,82734 FakeData Rd,31277 FakeData Rd,tx78,0,744.566.75.62
79,8109@gmail.com,612910312,5.27E+15,2670843-E32X-500,61497 FakeData Rd,67509 FakeData Rd,tx79,0,917.715.593.789
80,7386@gmail.com,499046011,5.49E+15,4534425-E32X-500,36823 FakeData Rd,6505 FakeData Rd,tx80,1,667.551.739.376
81,9404@gmail.com,655720355,5.88E+15,3183405-E32X-500,39740 FakeData Rd,81927 FakeData Rd,tx81,0,637.677.298.502
82,1212@gmail.com,553310411,5.29E+15,232131-E32X-500,4803 FakeData Rd,46608 FakeData Rd,tx82,0,570.132.227.575
83,9015@gmail.com,893686923,5.84E+15,1956673-E32X-500,89489 FakeData Rd,27406 FakeData Rd,tx83,0,581.127.347.70
84,4499@gmail.com,718987870,5.51E+15,2201407-E32X-500,61703 FakeData Rd,31186 FakeData Rd,tx84,0,362.204.819.702
85,285@gmail.com,564637989,5.64E+15,2727337-E32X-500,88584 FakeData Rd,18597 FakeData Rd,tx85,0,952.508.314.199
86,5193@gmail.com,469942561,5.62E+15,69398-E32X-500,41616 FakeData Rd,87267 FakeData Rd,tx86,0,392.346.689.549
87,4854@gmail.com,771162418,5.23E+15,9972344-E32X-500,31568 FakeData Rd,73331 FakeData Rd,tx87,0,853.712.814.314
88,1977@gmail.com,703631420,5.54E+15,6678701-E32X-500,36833 FakeData Rd,37898 FakeData Rd,tx88,0,189.177.439.592
89,5524@gmail.com,769060688,5.52E+15,964251-E32X-500,9460 FakeData Rd,20707 FakeData Rd,tx89,0,219.767.611.175
90,843@gmail.com,824385775,5.42E+15,9235159-E32X-500,35717 FakeData Rd,43676 FakeData Rd,tx90,0,344.513.565.318
91,7712@gmail.com,489553775,5.34E+15,6097705-E32X-500,28663 FakeData Rd,75841 FakeData Rd,tx91,0,778.587.793.895
92,2506@gmail.com,854979020,5.73E+15,8380388-E32X-500,79914 FakeData Rd,63356 FakeData Rd,tx92,0,975.561.83.68
93,3961@gmail.com,798473009,5.53E+15,5212761-E32X-500,89524 FakeData Rd,7993 FakeData Rd,tx93,0,468.565.487.782
94,5562@gmail.com,809535640,5.70E+15,4965163-E32X-500,42370 FakeData Rd,35505 FakeData Rd,tx94,0,407.424.344.665
95,5629@gmail.com,615864944,5.60E+15,8764226-E32X-500,46761 FakeData Rd,89560 FakeData Rd,tx95,0,369.505.966.898
96,6198@gmail.com,436825783,5.79E+15,1130353-E32X-500,28387 FakeData Rd,38263 FakeData Rd,tx96,0,153.135.400.542
97,3185@gmail.com,658142109,5.83E+15,9342860-E32X-500,71619 FakeData Rd,59002 FakeData Rd,tx97,0,226.871.659.879
98,6752@gmail.com,557983513,5.55E+15,382671-E32X-500,45279 FakeData Rd,26570 FakeData Rd,tx98,0,456.848.413.767
99,8950@gmail.com,816571165,5.30E+15,3811677-E32X-500,25713 FakeData Rd,56690 FakeData Rd,tx99,0,611.643.528.794
100,2593@gmail.com,537256260,5.40E+15,2508768-E32X-500,38755 FakeData Rd,3271 FakeData Rd,tx100,0,663.135.104.794
101,9089@gmail.com,501065854,5.59E+15,5337451-E32X-500,70136 FakeData Rd,47103 FakeData Rd,tx101,0,556.433.284.942
102,8031@gmail.com,567768399,5.69E+15,3513974-E32X-500,61927 FakeData Rd,22571 FakeData Rd,tx102,0,541.946.790.419
103,3054@gmail.com,808863095,5.84E+15,1303413-E32X-500,65411 FakeData Rd,9443 FakeData Rd,tx103,0,427.545.708.479
104,9587@gmail.com,466983977,5.85E+15,4767283-E32X-500,21319 FakeData Rd,21156 FakeData Rd,tx104,0,401.196.330.183
105,6989@gmail.com,564158409,5.89E+15,4007533-E32X-500,82288 FakeData Rd,7099 FakeData Rd,tx105,0,714.631.28.881
106,8059@gmail.com,776555993,5.57E+15,20042-E32X-500,58735 FakeData Rd,5705 FakeData Rd,tx106,0,891.228.513.657
107,8939@gmail.com,427144718,5.21E+15,6752712-E32X-500,40523 FakeData Rd,15759 FakeData Rd,tx107,0,114.811.363.333
108,5653@gmail.com,694597355,5.28E+15,4473914-E32X-500,75627 FakeData Rd,69872 FakeData Rd,tx108,0,769.651.683.633
109,8389@gmail.com,471120483,5.53E+15,8143728-E32X-500,589 FakeData Rd,64060 FakeData Rd,tx109,0,104.730.265.734
110,2946@gmail.com,887615787,5.67E+15,7447021-E32X-500,63021 FakeData Rd,67685 FakeData Rd,tx110,0,222.698.96.160
111,8589@gmail.com,413467753,5.41E+15,4631052-E32X-500,7302 FakeData Rd,25320 FakeData Rd,tx111,0,604.265.317.590
112,4800@gmail.com,774544561,5.87E+15,9352774-E32X-500,15650 FakeData Rd,87385 FakeData Rd,tx112,0,879.990.667.476
113,2637@gmail.com,831684065,5.28E+15,8528570-E32X-500,44327 FakeData Rd,89788 FakeData Rd,tx113,0,525.298.299.479
114,7804@gmail.com,515477789,5.22E+15,139933-E32X-500,76447 FakeData Rd,14468 FakeData Rd,tx114,0,485.446.859.763
115,282@gmail.com,529869476,5.86E+15,5343043-E32X-500,89269 FakeData Rd,83269 FakeData Rd,tx115,0,484.331.279.154
116,2827@gmail.com,440444587,5.52E+15,3326553-E32X-500,27903 FakeData Rd,5129 FakeData Rd,tx116,0,988.371.498.664
117,3970@gmail.com,572920234,5.88E+15,2538498-E32X-500,35764 FakeData Rd,16286 FakeData Rd,tx117,0,305.711.998.75
118,2122@gmail.com,868992870,5.24E+15,1321952-E32X-500,31476 FakeData Rd,89434 FakeData Rd,tx118,0,608.450.795.828
119,4596@gmail.com,564092040,5.45E+15,2821350-E32X-500,10758 FakeData Rd,80388 FakeData Rd,tx119,0,244.826.607.691
120,2864@gmail.com,754678123,5.63E+15,7191585-E32X-500,4154 FakeData Rd,82826 FakeData Rd,tx120,0,587.430.277.654
121,7040@gmail.com,403886978,5.67E+15,685614-E32X-500,8096 FakeData Rd,26086 FakeData Rd,tx121,0,683.717.518.361
122,9674@gmail.com,623021893,5.47E+15,3219146-E32X-500,61007 FakeData Rd,74133 FakeData Rd,tx122,0,743.537.398.158
123,4710@gmail.com,507226691,5.30E+15,189045-E32X-500,78572 FakeData Rd,73377 FakeData Rd,tx123,0,747.528.868.669
124,6470@gmail.com,572231116,5.84E+15,3590873-E32X-500,39604 FakeData Rd,25545 FakeData Rd,tx124,0,478.438.531.953
125,1638@gmail.com,641906033,5.32E+15,4113871-E32X-500,81832 FakeData Rd,46978 FakeData Rd,tx125,0,135.961.626.327
126,4529@gmail.com,681098632,5.28E+15,6989635-E32X-500,55601 FakeData Rd,16037 FakeData Rd,tx126,1,465.810.995.119
127,3779@gmail.com,523328452,5.58E+15,4933307-E32X-500,50471 FakeData Rd,44460 FakeData Rd,tx127,0,716.435.683.933
128,7942@gmail.com,533802329,5.87E+15,9181943-E32X-500,50514 FakeData Rd,40238 FakeData Rd,tx128,0,601.186.755.669
129,5408@gmail.com,406707315,5.31E+15,7482515-E32X-500,16758 FakeData Rd,51831 FakeData Rd,tx129,0,639.463.784.261
130,7816@gmail.com,852824353,5.58E+15,925130-E32X-500,31740 FakeData Rd,79112 FakeData Rd,tx130,0,384.396.969.494
131,3258@gmail.com,724232185,5.67E+15,72748-E32X-500,80364 FakeData Rd,34466 FakeData Rd,tx131,0,474.806.825.258
132,1506@gmail.com,819067709,5.51E+15,626829-E32X-500,16287 FakeData Rd,39838 FakeData Rd,tx132,0,866.157.414.430
133,8181@gmail.com,709226297,5.25E+15,5813048-E32X-500,11710 FakeData Rd,45840 FakeData Rd,tx133,0,893.260.216.954
134,2332@gmail.com,872789477,5.61E+15,4724332-E32X-500,69246 FakeData Rd,34584 FakeData Rd,tx134,0,766.902.109.816
135,6018@gmail.com,744409315,5.22E+15,2857706-E32X-500,88702 FakeData Rd,56757 FakeData Rd,tx135,0,651.403.862.858
136,5350@gmail.com,736907709,5.72E+15,5453031-E32X-500,8098 FakeData Rd,48821 FakeData Rd,tx136,0,204.285.436.627
137,468@gmail.com,515399194,5.77E+15,7357929-E32X-500,6036 FakeData Rd,46451 FakeData Rd,tx137,0,985.872.317.924
138,8332@gmail.com,524377655,5.56E+15,7845324-E32X-500,6548 FakeData Rd,84977 FakeData Rd,tx138,0,520.133.757.37
139,8860@gmail.com,411404361,5.80E+15,9927986-E32X-500,57141 FakeData Rd,57916 FakeData Rd,tx139,0,256.653.946.989
140,2066@gmail.com,764535859,5.22E+15,2397132-E32X-500,35453 FakeData Rd,43731 FakeData Rd,tx140,0,629.932.262.72
141,1029@gmail.com,699018414,5.75E+15,7836601-E32X-500,87436 FakeData Rd,48219 FakeData Rd,tx141,0,620.787.160.574
142,1723@gmail.com,547617462,5.44E+15,870575-E32X-500,65659 FakeData Rd,51682 FakeData Rd,tx142,0,557.404.631.32
143,5042@gmail.com,674457598,5.34E+15,4183674-E32X-500,2713 FakeData Rd,49157 FakeData Rd,tx143,0,672.667.561.843
144,4037@gmail.com,885252027,5.23E+15,6648438-E32X-500,60493 FakeData Rd,18087 FakeData Rd,tx144,0,690.791.117.257
145,8026@gmail.com,608991091,5.89E+15,9978809-E32X-500,48957 FakeData Rd,26555 FakeData Rd,tx145,0,403.585.420.75
146,1849@gmail.com,541266124,5.46E+15,9832853-E32X-500,9212 FakeData Rd,83487 FakeData Rd,tx146,0,262.740.957.61
147,1252@gmail.com,502750986,5.70E+15,6360684-E32X-500,24900 FakeData Rd,28990 FakeData Rd,tx147,0,324.809.771.144
148,8598@gmail.com,622707644,5.35E+15,5238752-E32X-500,8839 FakeData Rd,55711 FakeData Rd,tx148,0,132.392.843.375
149,9525@gmail.com,572563463,5.41E+15,2936715-E32X-500,49566 FakeData Rd,26050 FakeData Rd,tx149,0,329.237.703.116
150,4087@gmail.com,767357343,5.51E+15,5282466-E32X-500,86975 FakeData Rd,62161 FakeData Rd,tx150,0,209.773.424.747
151,7039@gmail.com,791950501,5.65E+15,9548509-E32X-500,50996 FakeData Rd,673 FakeData Rd,tx151,0,356.634.386.828
152,4516@gmail.com,582319211,5.30E+15,9316565-E32X-500,44355 FakeData Rd,40026 FakeData Rd,tx152,0,333.676.371.148
153,5460@gmail.com,450464773,5.82E+15,6339905-E32X-500,51522 FakeData Rd,18973 FakeData Rd,tx153,0,520.137.332.924
154,6550@gmail.com,627292189,5.43E+15,1191697-E32X-500,48518 FakeData Rd,89725 FakeData Rd,tx154,0,298.655.523.964
155,5244@gmail.com,430930836,5.65E+15,7895854-E32X-500,12977 FakeData Rd,33882 FakeData Rd,tx155,0,551.383.325.980
156,736@gmail.com,731199888,5.57E+15,5005073-E32X-500,62610 FakeData Rd,5206 FakeData Rd,tx156,0,585.284.49.592
157,9787@gmail.com,734814721,5.57E+15,3464731-E32X-500,86407 FakeData Rd,23464 FakeData Rd,tx157,0,426.422.386.409
158,4736@gmail.com,490120426,5.21E+15,4260059-E32X-500,82218 FakeData Rd,50699 FakeData Rd,tx158,0,798.859.614.85
159,5333@gmail.com,542209773,5.57E+15,7645309-E32X-500,72182 FakeData Rd,64235 FakeData Rd,tx159,0,522.262.464.411
160,7586@gmail.com,843489594,5.75E+15,1830937-E32X-500,17294 FakeData Rd,54264 FakeData Rd,tx160,0,773.447.337.81
161,8038@gmail.com,898448717,5.53E+15,7695307-E32X-500,52375 FakeData Rd,2376 FakeData Rd,tx161,0,217.822.674.840
162,5101@gmail.com,697046466,5.28E+15,3482379-E32X-500,1197 FakeData Rd,72551 FakeData Rd,tx162,0,295.141.575.225
163,8952@gmail.com,608082471,5.49E+15,335123-E32X-500,83675 FakeData Rd,8509 FakeData Rd,tx163,0,564.782.782.77
164,9748@gmail.com,740895282,5.40E+15,2915976-E32X-500,65301 FakeData Rd,2170 FakeData Rd,tx164,0,936.194.799.673
165,1781@gmail.com,687405012,5.63E+15,8634263-E32X-500,54162 FakeData Rd,58782 FakeData Rd,tx165,0,141.597.565.86
166,6683@gmail.com,608194421,5.51E+15,3654271-E32X-500,19375 FakeData Rd,17788 FakeData Rd,tx166,0,589.804.18.151
167,9170@gmail.com,428133757,5.43E+15,9826043-E32X-500,86073 FakeData Rd,44007 FakeData Rd,tx167,0,889.490.256.86
168,1775@gmail.com,594190886,5.38E+15,2377928-E32X-500,70022 FakeData Rd,86950 FakeData Rd,tx168,0,351.796.199.21
169,7641@gmail.com,669582253,5.54E+15,5169990-E32X-500,52969 FakeData Rd,9831 FakeData Rd,tx169,0,720.621.822.344
170,5978@gmail.com,784744545,5.77E+15,1464340-E32X-500,41627 FakeData Rd,61793 FakeData Rd,tx170,0,574.571.925.954
171,2837@gmail.com,510762631,5.45E+15,575925-E32X-500,18246 FakeData Rd,7724 FakeData Rd,tx171,0,629.948.290.375
172,744@gmail.com,446334372,5.66E+15,3526032-E32X-500,56677 FakeData Rd,66897 FakeData Rd,tx172,0,696.540.427.934
173,8407@gmail.com,408136784,5.89E+15,1099123-E32X-500,38824 FakeData Rd,22250 FakeData Rd,tx173,0,983.878.78.542
174,5028@gmail.com,402908579,5.26E+15,886382-E32X-500,5360 FakeData Rd,71940 FakeData Rd,tx174,0,251.483.954.480
175,8576@gmail.com,890032954,5.49E+15,9622615-E32X-500,59547 FakeData Rd,9666 FakeData Rd,tx175,0,163.541.430.876
176,5753@gmail.com,771140454,5.76E+15,8831884-E32X-500,64185 FakeData Rd,43950 FakeData Rd,tx176,0,719.657.473.470
177,2272@gmail.com,525239445,5.51E+15,227766-E32X-500,66514 FakeData Rd,20072 FakeData Rd,tx177,0,839.293.965.851
178,9531@gmail.com,892197319,5.75E+15,9193530-E32X-500,13257 FakeData Rd,18632 FakeData Rd,tx178,0,753.553.679.967
179,1885@gmail.com,712680971,5.75E+15,5627030-E32X-500,4716 FakeData Rd,83036 FakeData Rd,tx179,0,890.273.520.79
180,5203@gmail.com,879957625,5.57E+15,8202824-E32X-500,30916 FakeData Rd,83577 FakeData Rd,tx180,0,458.307.32.52
181,3304@gmail.com,604126903,5.41E+15,7518153-E32X-500,13669 FakeData Rd,88677 FakeData Rd,tx181,0,645.762.517.132
182,3575@gmail.com,696730274,5.31E+15,9442333-E32X-500,44545 FakeData Rd,67407 FakeData Rd,tx182,0,320.144.514.788
183,2311@gmail.com,872511947,5.82E+15,4959324-E32X-500,24899 FakeData Rd,251 FakeData Rd,tx183,0,772.170.641.748
184,7322@gmail.com,765336084,5.34E+15,7407840-E32X-500,47783 FakeData Rd,10702 FakeData Rd,tx184,0,231.558.901.657
185,2186@gmail.com,508042130,5.42E+15,7138983-E32X-500,4095 FakeData Rd,8133 FakeData Rd,tx185,0,277.567.484.963
186,3747@gmail.com,880646467,5.49E+15,5606365-E32X-500,5807 FakeData Rd,4137 FakeData Rd,tx186,1,587.915.291.25
187,303@gmail.com,777910412,5.75E+15,4271376-E32X-500,31414 FakeData Rd,47468 FakeData Rd,tx187,1,190.352.50.279
188,923@gmail.com,695773803,5.80E+15,9095793-E32X-500,59093 FakeData Rd,78717 FakeData Rd,tx188,0,553.804.429.9
189,2545@gmail.com,859387823,5.32E+15,7002079-E32X-500,3401 FakeData Rd,51268 FakeData Rd,tx189,0,644.291.516.152
190,8545@gmail.com,553222259,5.40E+15,3553903-E32X-500,51261 FakeData Rd,87085 FakeData Rd,tx190,0,195.487.59.170
191,1413@gmail.com,812223517,5.49E+15,2278736-E32X-500,81183 FakeData Rd,13605 FakeData Rd,tx191,0,692.903.676.429
192,2790@gmail.com,660694531,5.42E+15,2227655-E32X-500,4749 FakeData Rd,30625 FakeData Rd,tx192,0,275.353.88.910
193,720@gmail.com,452394428,5.51E+15,2571400-E32X-500,73964 FakeData Rd,11431 FakeData Rd,tx193,0,628.590.153.812
194,4843@gmail.com,564021494,5.39E+15,9819698-E32X-500,48673 FakeData Rd,58443 FakeData Rd,tx194,0,412.532.550.100
195,6711@gmail.com,811525736,5.90E+15,6898873-E32X-500,77421 FakeData Rd,5239 FakeData Rd,tx195,0,327.924.671.655
196,3893@gmail.com,728391491,5.41E+15,1514374-E32X-500,88440 FakeData Rd,51184 FakeData Rd,tx196,0,409.706.201.112
197,6367@gmail.com,755643808,5.57E+15,7500807-E32X-500,58391 FakeData Rd,46062 FakeData Rd,tx197,0,780.406.83.468
198,9480@gmail.com,678801750,5.23E+15,601691-E32X-500,65401 FakeData Rd,38209 FakeData Rd,tx198,0,143.413.132.927
199,2898@gmail.com,559192089,5.83E+15,66104-E32X-500,75144 FakeData Rd,23125 FakeData Rd,tx199,0,472.128.985.425
200,5277@gmail.com,782363648,5.77E+15,7201653-E32X-500,30977 FakeData Rd,74178 FakeData Rd,tx200,0,180.564.324.80
201,5037@gmail.com,853270888,5.39E+15,7981900-E32X-500,22928 FakeData Rd,76388 FakeData Rd,tx201,0,367.518.728.988
202,613@gmail.com,803381839,5.80E+15,5585148-E32X-500,331 FakeData Rd,46720 FakeData Rd,tx202,0,689.293.204.266
203,9196@gmail.com,596093697,5.89E+15,7376734-E32X-500,52912 FakeData Rd,4375 FakeData Rd,tx203,0,616.218.518.140
204,8003@gmail.com,842454330,5.71E+15,2957062-E32X-500,75977 FakeData Rd,13026 FakeData Rd,tx204,0,907.182.181.419
205,3977@gmail.com,845815100,5.55E+15,1073358-E32X-500,1682 FakeData Rd,44054 FakeData Rd,tx205,0,306.468.401.196
